2022-05-24/13:07:21		Data Transformation failed because:: name 'goodpath' is not defined
2022-05-24/13:09:48		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:09:54		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:00		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:03		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:05		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:06		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:06		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:07		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:08		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:08		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:09		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:10		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:10		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:11		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:10:14		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:21		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:28		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:45		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:47		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:48		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:49		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:49		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:50		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:50		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:51		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:51		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:52		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:52		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:53		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:53		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:54		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:54		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:55		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:55		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:56		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:56		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:57		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:58		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:58		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:59		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:59		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:13:59		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:00		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:01		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:01		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:01		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:36		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:38		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:39		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:39		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:40		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:41		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:46		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:46		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:47		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:47		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:48		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:14:49		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:07		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:08		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:12		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:16		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:34		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:35		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:36		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:37		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:39		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:40		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:41		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:41		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:42		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:43		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:44		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:45		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:46		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:47		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:15:55		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:25		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:17:26		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:07		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:08		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:18:08		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
